"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"398","Jonas Brodin","MIN","D","92","23.816666666667","0","1","0","1","1","33.33","1","0.00","0.11","2","2","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","-"
"399","Ryan Murphy","MIN, N.J","D","3","2.8666666666667","0","1","1","0","1","100.00","0","-","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"404","Nathan Beaulieu","BUF, WPG","D","48","10.4","0","1","1","0","1","100.00","0","-","0.14","3","3","1","0","0","0","5","1","0","1","0","0","0","0","0","1","0","0","0","-"
"409","Matt Puempel","DET","L","8","5.6833333333333","1","0","0","0","1","100.00","1","100.00","0.13","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"424","Ryan Murray","CBJ","D","65","36.483333333333","0","1","1","0","1","100.00","3","0.00","0.16","6","4","1","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","-"
"439","Cody Ceci","OTT, TOR","D","86","33.716666666667","0","1","1","0","1","50.00","4","0.00","0.37","11","6","4","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","-"
"451","Oskar Sundqvist","STL","C","84","30.916666666667","0","1","0","1","1","33.33","6","0.00","0.88","9","7","7","4","0","1","2","1","1","0","0","0","0","1","2","1","0","1","2","33.33"
"464","Martin Frk","DET","R","30","31.65","1","0","0","0","1","33.33","6","16.67","0.61","15","11","5","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","-"
"469","Connor Carrick","DAL, N.J","D","38","29.266666666667","0","1","0","1","1","100.00","0","-","0","1","0","1","0","0","0","0","0","0","0","0","0","1","2","0","2","1","0","0","-"
"470","Charles Hudon","MTL","L","32","49.25","0","1","1","0","1","50.00","3","0.00","0.52","9","6","8","2","0","0","2","1","1","0","0","0","1","1","2","2","0","1","0","100.00"
"483","Matthew Benning","EDM","D","81","39.8","0","1","0","1","1","50.00","4","0.00","0.15","10","4","2","0","0","0","2","1","1","0","0","3","4","1","0","1","0","0","0","-"
"486","Connor Brown","OTT, TOR","R","92","41.333333333333","0","1","0","1","1","50.00","3","0.00","0.38","7","5","3","2","0","1","0","0","0","0","0","0","1","1","0","0","0","0","2","0.00"
"502","Dominik Kubalik","CHI","L","8","12.4","0","1","1","0","1","100.00","4","0.00","0.54","8","6","3","2","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","-"
"505","MacKenzie Weegar","FLA","D","74","18.85","0","1","1","0","1","50.00","1","0.00","0.02","1","1","0","0","0","0","10","2","0","2","0","0","1","0","1","0","0","0","0","-"
"511","Luke Johnson","CHI","C","15","4.95","0","1","0","1","1","100.00","0","-","0.04","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"518","Mattias Janmark","DAL","C","93","26.166666666667","0","1","0","1","1","100.00","0","-","0.17","1","1","1","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0.00"
"523","Peter Cehlarik","BOS","L","20","24.533333333333","1","0","0","0","1","50.00","3","33.33","0.69","9","7","7","5","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","-"
"548","Zach Sanford","STL","L","65","11.116666666667","0","1","1","0","1","100.00","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","1","1","0","0","0","0","0","-"
"617","Jayce Hawryluk","FLA","C","47","5.2833333333333","0","1","1","0","1","100.00","0","-","0","0","0","0","0","0","0","2","1","1","0","0","1","0","0","0","0","0","1","0","100.00"
"621","Vladislav Kamenev","COL","C","23","22.466666666667","1","0","0","0","1","25.00","5","20.00","0.4","9","6","3","2","0","0","0","0","0","0","0","0","0","0","0","3","0","2","2","50.00"
"630","Michael Amadio","L.A","C","53","50.65","0","1","0","1","1","50.00","9","0.00","0.82","14","11","7","4","1","0","0","0","0","0","0","0","2","0","1","2","0","8","9","47.06"
"664","Jordan Greenway","MIN","L","90","56.85","0","1","0","1","1","25.00","6","0.00","0.8","8","7","6","3","0","1","5","1","0","1","0","0","2","0","0","1","0","2","3","40.00"
"666","Erik Cernak","T.B","D","67","5.5833333333333","1","0","0","0","1","50.00","1","100.00","0.08","1","1","1","0","0","0","2","1","1","0","0","0","0","0","0","1","1","0","0","-"
"667","Jakob Forsbacka Karlsson","BOS","C","28","10.016666666667","0","1","0","1","1","100.00","1","0.00","0.05","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0.00"
"682","Caleb Jones","EDM","D","17","11.666666666667","0","1","0","1","1","100.00","4","0.00","0.15","5","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"724","Brett Seney","N.J","L","51","7.6833333333333","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","6","3","3","0","0","0","0","0","0","0","0","0","1","0.00"
"739","Luke Kunin","MIN","C","59","69.6","0","1","0","1","1","25.00","7","0.00","1.01","16","10","10","5","0","2","9","3","2","1","0","0","2","0","0","3","0","14","7","66.67"
"746","Carl Grundstrom","L.A","R","16","28.416666666667","0","1","0","1","1","50.00","9","0.00","2.42","14","13","14","10","0","5","0","0","0","0","0","0","2","0","2","1","0","0","0","-"
"750","Jesse Puljujarvi","EDM","R","46","20.516666666667","0","1","1","0","1","50.00","2","0.00","0.58","9","6","6","1","0","1","0","0","0","0","0","0","0","0","1","2","0","0","0","-"
"757","Logan Brown","OTT","C","4","9.5833333333333","0","1","1","0","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","33.33"
"758","Max Jones","ANA","L","38","23.283333333333","0","1","0","1","1","50.00","5","0.00","0.49","6","5","6","1","0","0","0","0","0","0","0","2","1","0","0","2","1","0","0","-"
"777","Tage Thompson","BUF","C, R","65","53.766666666667","1","0","0","0","1","50.00","11","9.09","0.99","20","15","10","2","0","1","2","1","1","0","0","1","3","0","1","1","0","0","0","-"
"778","Alexander Nylander","BUF, CHI","L, R","19","22.7","1","0","0","0","1","50.00","6","16.67","0.65","8","7","4","3","0","0","0","0","0","0","0","1","0","1","1","0","0","1","1","50.00"
"781","Troy Stecher","VAN","D","88","66.75","0","1","1","0","1","50.00","6","0.00","0.35","13","7","4","0","1","1","2","1","1","0","0","1","0","1","0","2","2","0","0","-"
