Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2021-02-09,9:00 PM,10:00 PM,Anaheim Ducks,4,Vegas Golden Knights,5,Regulation
2021-02-09,9:00 PM,10:00 PM,San Jose Sharks,4,Los Angeles Kings,3,SO
2021-02-10,6:00 PM,7:00 PM,Boston Bruins,3,New York Rangers,2,OT
2021-02-10,6:30 PM,7:30 PM,Toronto Maple Leafs,4,Montreal Canadiens,2,Regulation
2021-02-11,6:00 PM,7:00 PM,Pittsburgh Penguins,4,New York Islanders,3,SO
2021-02-11,6:00 PM,7:00 PM,Tampa Bay Lightning,2,Florida Panthers,5,Regulation
2021-02-11,7:00 PM,8:00 PM,Columbus Blue Jackets,6,Chicago Blackhawks,5,Regulation
2021-02-11,7:00 PM,8:00 PM,Detroit Red Wings,2,Nashville Predators,3,Regulation
2021-02-11,7:00 PM,8:00 PM,Edmonton Oilers,3,Montreal Canadiens,0,Regulation
2021-02-11,7:00 PM,8:00 PM,Ottawa Senators,1,Winnipeg Jets,5,Regulation
2021-02-11,7:30 PM,8:30 PM,Carolina Hurricanes,5,Dallas Stars,3,Regulation
2021-02-11,9:00 PM,10:00 PM,Calgary Flames,3,Vancouver Canucks,1,Regulation
2021-02-11,9:00 PM,10:00 PM,Anaheim Ducks,1,Vegas Golden Knights,0,Regulation
2021-02-11,9:00 PM,10:00 PM,San Jose Sharks,2,Los Angeles Kings,6,Regulation
2021-02-12,6:00 PM,7:00 PM,Boston Bruins,1,New York Rangers,0,Regulation
2021-02-12,8:00 PM,9:00 PM,St. Louis Blues,4,Arizona Coyotes,1,Regulation
2021-02-13,2:00 PM,3:00 PM,Ottawa Senators,2,Winnipeg Jets,1,Regulation
2021-02-13,3:00 PM,4:00 PM,Vegas Golden Knights,3,San Jose Sharks,1,Regulation
2021-02-13,6:00 PM,7:00 PM,Boston Bruins,2,New York Islanders,4,Regulation
2021-02-13,6:00 PM,7:00 PM,Tampa Bay Lightning,6,Florida Panthers,1,Regulation
2021-02-13,6:00 PM,7:00 PM,Montreal Canadiens,2,Toronto Maple Leafs,1,Regulation
2021-02-13,7:00 PM,8:00 PM,Columbus Blue Jackets,2,Chicago Blackhawks,3,OT
2021-02-13,7:00 PM,8:00 PM,Detroit Red Wings,4,Nashville Predators,2,Regulation
2021-02-13,7:00 PM,8:00 PM,Carolina Hurricanes,4,Dallas Stars,3,SO
2021-02-13,7:00 PM,8:00 PM,St. Louis Blues,5,Arizona Coyotes,4,OT
2021-02-13,9:00 PM,10:00 PM,Calgary Flames,1,Vancouver Canucks,3,Regulation
2021-02-14,2:00 PM,3:00 PM,Washington Capitals,3,Pittsburgh Penguins,6,Regulation
2021-02-14,6:00 PM,7:00 PM,Colorado Avalanche,0,Vegas Golden Knights,1,Regulation
2021-02-15,3:00 PM,4:00 PM,St. Louis Blues,0,Arizona Coyotes,1,Regulation
2021-02-15,6:00 PM,7:00 PM,New York Islanders,3,Buffalo Sabres,1,Regulation
2021-02-15,6:00 PM,7:00 PM,Ottawa Senators,6,Toronto Maple Leafs,5,OT
2021-02-15,6:00 PM,7:00 PM,Columbus Blue Jackets,3,Carolina Hurricanes,7,Regulation
2021-02-15,6:00 PM,7:00 PM,Florida Panthers,6,Tampa Bay Lightning,4,Regulation
2021-02-15,6:30 PM,7:30 PM,Chicago Blackhawks,3,Detroit Red Wings,2,OT
2021-02-15,8:00 PM,9:00 PM,Winnipeg Jets,6,Edmonton Oilers,5,Regulation
2021-02-15,9:00 PM,10:00 PM,Calgary Flames,4,Vancouver Canucks,3,OT
2021-02-15,9:30 PM,10:30 PM,Anaheim Ducks,2,San Jose Sharks,3,Regulation
2021-02-16,6:00 PM,7:00 PM,New York Islanders,3,Buffalo Sabres,0,Regulation
2021-02-16,6:00 PM,7:00 PM,Washington Capitals,3,Pittsburgh Penguins,1,Regulation
2021-02-16,6:00 PM,7:00 PM,New Jersey Devils,5,New York Rangers,2,Regulation
2021-02-16,9:00 PM,10:00 PM,Colorado Avalanche,3,Vegas Golden Knights,2,Regulation
2021-02-16,9:00 PM,10:00 PM,Minnesota Wild,0,Los Angeles Kings,4,Regulation
2021-02-17,4:00 PM,5:00 PM,Florida Panthers,4,Carolina Hurricanes,3,OT
2021-02-17,6:00 PM,7:00 PM,Ottawa Senators,1,Toronto Maple Leafs,2,Regulation
2021-02-17,6:30 PM,7:30 PM,Chicago Blackhawks,2,Detroit Red Wings,0,Regulation
2021-02-17,9:00 PM,10:00 PM,Vancouver Canucks,5,Calgary Flames,1,Regulation
2021-02-17,9:00 PM,10:00 PM,Winnipeg Jets,2,Edmonton Oilers,3,Regulation
2021-02-18,6:00 PM,7:00 PM,New Jersey Devils,3,Boston Bruins,2,Regulation
