id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assist,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
285,Scott Laughton,PHI,C,67,40.683333333333,0,1,1,0,1,50.00,6,0.00,0.86,8,7,3,3,0,1,0,0,0,0,0,1,5,0,2,2,0,24,14,63.16
286,Mark Jankowski,BUF,C,19,1.4333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
287,Olli Maatta,L.A,D,66,8.15,0,0,0,0,0,0.00,0,-,0.05,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,-
288,Mike Matheson,PIT,D,74,50.65,0,2,2,0,2,66.67,10,0.00,0.67,18,12,5,0,0,2,0,0,0,0,0,0,0,0,4,1,2,0,0,-
289,Zemgus Girgensons,BUF,L,56,53.116666666667,2,1,1,0,3,42.86,6,33.33,1.18,8,8,7,6,0,0,0,0,0,0,0,0,1,1,0,7,0,13,8,61.90
290,Cody Ceci,EDM,D,78,4.7333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
291,Tom Wilson,WSH,R,78,183.5,4,6,3,3,10,41.67,28,14.29,5.09,53,44,50,24,0,6,6,3,3,0,0,2,2,3,12,6,0,7,15,31.82
292,Tomas Hertl,S.J,C,82,193.35,5,9,4,5,14,56.00,29,17.24,5.26,42,39,36,26,2,6,2,1,1,0,0,0,5,1,4,5,0,124,71,63.59
293,Teuvo Teravainen,CAR,L,77,215.58333333333,8,21,11,10,29,82.86,65,12.31,5.82,99,78,47,7,2,6,4,2,2,0,0,0,15,1,0,7,1,0,0,-
294,Derrick Pouliot,"SEA, VGK",D,11,0.6,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
295,Jacob Trouba,NYR,D,81,97.166666666667,1,3,0,3,4,66.67,20,5.00,1.44,35,29,6,0,1,3,9,3,2,1,0,1,5,3,3,2,3,0,0,-
296,Slater Koekkoek,EDM,D,19,0.15,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
297,Filip Forsberg,NSH,L,69,210.43333333333,10,16,11,5,26,61.90,51,19.61,5.75,106,75,51,9,1,11,2,1,1,0,0,1,11,9,7,7,1,0,0,-
298,Radek Faksa,DAL,C,77,8.8666666666667,1,0,0,0,1,100.00,1,100.00,0.14,1,1,1,1,0,0,2,1,1,0,0,0,0,0,0,1,0,7,4,63.64
299,Matt Grzelcyk,BOS,D,73,101.55,0,4,3,1,4,57.14,5,0.00,0.59,17,12,6,0,0,1,2,1,1,0,0,1,2,0,1,5,1,0,0,-
300,Colton Parayko,STL,D,80,22.883333333333,0,1,1,0,1,20.00,3,0.00,0.23,5,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-
301,Oskar Sundqvist,"DET, STL",C,59,32.4,0,0,0,0,0,0.00,2,0.00,0.38,5,3,5,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0.00
